id,title,level_1,level_2,level_3,level_4,level_5,level_6,credential_verification_body,provider_type,path,search_terms
1,Cardiac emergencies,Medical Specialists,Acute internal medicine,Cardiac emergencies,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Cardiac emergencies,Medical Specialists | Acute internal medicine | Cardiac emergencies | GMC | Individual
2,Adult basic life support,Medical Specialists,Acute internal medicine,Adult basic life support,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Adult basic life support,Medical Specialists | Acute internal medicine | Adult basic life support | GMC | Individual
3,Adult advanced life support,Medical Specialists,Acute internal medicine,Adult advanced life support,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Adult advanced life support,Medical Specialists | Acute internal medicine | Adult advanced life support | GMC | Individual
4,Universal treatment algorithm,Medical Specialists,Acute internal medicine,Universal treatment algorithm,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Universal treatment algorithm,Medical Specialists | Acute internal medicine | Universal treatment algorithm | GMC | Individual
5,Acute coronary syndrome,Medical Specialists,Acute internal medicine,Acute coronary syndrome,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Acute coronary syndrome,Medical Specialists | Acute internal medicine | Acute coronary syndrome | GMC | Individual
6,ST elevation myocardial infarction,Medical Specialists,Acute internal medicine,ST elevation myocardial infarction,,,,GMC,Individual,Medical Specialists > Acute internal medicine > ST elevation myocardial infarction,Medical Specialists | Acute internal medicine | ST elevation myocardial infarction | GMC | Individual
7,STEMI: diagnosis,Medical Specialists,Acute internal medicine,STEMI: diagnosis,,,,GMC,Individual,Medical Specialists > Acute internal medicine > STEMI: diagnosis,Medical Specialists | Acute internal medicine | STEMI: diagnosis | GMC | Individual
8,Surgery for acute STEMI,Medical Specialists,Acute internal medicine,Surgery for acute STEMI,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Surgery for acute STEMI,Medical Specialists | Acute internal medicine | Surgery for acute STEMI | GMC | Individual
9,STEMI: additional measures,Medical Specialists,Acute internal medicine,STEMI: additional measures,,,,GMC,Individual,Medical Specialists > Acute internal medicine > STEMI: additional measures,Medical Specialists | Acute internal medicine | STEMI: additional measures | GMC | Individual
10,Right ventricular,Medical Specialists,Acute internal medicine,Right ventricular,,,,GMC,Individual,Medical Specialists > Acute internal medicine > Right ventricular,Medical Specialists | Acute internal medicine | Right ventricular | GMC | Individual
11,STEMI: predischarge risk stratification,Medical Specialists,Acute internal medicine,STEMI: predischarge risk stratification,,,,GMC,Individual,Medical Specialists > Acute internal medicine > STEMI: predischarge risk stratification,Medical Specialists | Acute internal medicine | STEMI: predischarge risk stratification | GMC | Individual
