id,term,normalized,aliases,internal_types,source_columns,priority,active,source,kind
internal_97bce79a817ed01d,British Acupuncture Council,british acupuncture council,BAcC | British Acupuncture Council,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_9bd92bd23800c1ce,Care Quality Commission (CQC),care quality commission cqc,CQC | Care Quality Commission,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_5c20bcdf11fa2cb7,General Dental Council (GDC),general dental council gdc,GDC | General Dental Council,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_4dfc86e17970f1b1,General Pharmaceutical Council (GPhC),general pharmaceutical council gphc,GPhC | General Pharmaceutical Council,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_ec70b30b7f2646a6,GMC,gmc,,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_8d7c09870203bcca,Health and Care Professions Council (HCPC),health and care professions council hcpc,HCPC | Health and Care Professions Council,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_34742e7177dc373a,Nursing and Midwifery Council (NMC),nursing and midwifery council nmc,NMC | Nursing and Midwifery Council,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_5a6bb4706543ad2b,Royal College of Veterinary Surgeons,royal college of veterinary surgeons,RCVS | Royal College of Veterinary Surgeons,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_d36000e5d33c0b89,Solicitors Regulation Authority (SRA),solicitors regulation authority sra,SRA | Solicitors Regulation Authority,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_d9ca7e765a98d032,University Email,university email,,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_50d8b4a941c26b89,Unknown,unknown,,credential_verification_body,H,90,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_589d230a8d00f115,Individual,individual,,provider_type,I,85,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_9bf0ba98625e4135,Organisation,organisation,,provider_type,I,85,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_80405cae5ab478f1,Accident & Personal injury law,accident and personal injury law,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_2c5866c390f8af01,Acupuncture,acupuncture,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_9e255634d6b2c57b,Acute internal medicine,acute internal medicine,,level_2_sub_department | level_4_subdepartment | level_5_organisation_subdepartment,B | E | G,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_403765fa8d1132ab,Administration assistance,administration assistance,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_69992e922847fb8c,Allergy and immunology,allergy and immunology,,level_2_sub_department | level_4_subdepartment | level_5_organisation_subdepartment,B | E | G,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_e2427c2db65c9cfd,Ambulances,ambulances,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_38b0a303e02cf62f,Anatomist,anatomist,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_8d9cb0c390af401f,Anesthesiology,anesthesiology,,level_2_sub_department | level_4_subdepartment | level_5_organisation_subdepartment,B | E | G,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_27fed9b5fe7bfd72,Arbitration & Mediation,arbitration and mediation,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_e57be4369e727878,Aromatherapy,aromatherapy,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_72ff7d66ece79280,Arts therapists,arts therapists,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_e51cc103142427e8,Biomedical scientists,biomedical scientists,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_eb49f956d8883f9a,Blood and transplant service,blood and transplant service,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_97b7921883067d84,Cardio-thoracic surgery,cardio-thoracic surgery,,level_2_sub_department | level_4_subdepartment | level_5_organisation_subdepartment,B | E | G,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_3a516eabc948b1b1,Cardiology,cardiology,,level_2_sub_department | level_3_nonmedical_or_organisation_subdepartment | level_4_subdepartment | level_5_organisation_subdepartment,B | D | E | G,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_3e135e5036a4b86c,Care Homes,care homes,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_ab66bcc8bb329e4f,Child and adolescent psychiatry / Mental Health,child and adolescent psychiatry / mental health,,level_2_sub_department | level_4_subdepartment | level_5_organisation_subdepartment,B | E | G,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_6f272c4c8900a734,Children Law related to medicine,children law related to medicine,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_ef8450c94839fd24,Chiropodists/Podiatrists,chiropodists/podiatrists,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_cdaaa12922c06f8f,Clinic,clinic,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_e8e397637ea9630a,Clinical scientists,clinical scientists,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
internal_29ab05fe1df59502,Coaching,coaching,,level_2_sub_department,B,80,True,eSupraLife RESTUCTURED_INDEX_EXCEL,internal_taxonomy
